Brand,Model,Year,Mileage,EngineSize,FuelType,Color,Region,ConditionDesc,SellerType,Price
Ford,Escape,2001.0,287486.0,4.80024786820322,Diesel,Black,Daejeon,like new,Dealer,580
Mercedes,E-Class,2014.0,168229.0,4.802428587750224,Gasoline,White,Seoul,nan,Dealer,1835
Mercedes,E-Class,2023.0,106081.0,3.2937515524931444,Gasoline,Red,Incheon,engine issue,Dealer,2226
Kia,Sorento,2009.0,89045.0,3.527348848679197,Gasoline,nan,Daegu,minor scratch on bumper,Dealer,1050
Ford,Escape,2005.0,34698.0,2.793782087913279,Hybrid,Black,Seoul,nan,Private,1290
Hyundai,Sonata,2002.0,110078.0,2.172843086792258,Hybrid,White,Daegu,nan,Private,887
Ford,Explorer,2023.0,22671.0,2.314658181479664,EV,Black,Daegu,regular maintenance done,Private,2058
Hyundai,Grandeur,2015.0,86202.0,3.6900738243081537,Gasoline,nan,Incheon,minor scratch on bumper,Private,1253
Mercedes,E-Class,2001.0,51663.0,4.00949811775072,Diesel,Gray,Daejeon,dashboard damage,Private,1371
BMW,X5,2020.0,15708.0,4.166316174903394,Hybrid,Black,Busan,noise in suspension,Private,2342
Kia,Morning,2013.0,133883.0,4.158472571178216,Gasoline,Gray,Daejeon,regular maintenance done,Private,1028
Mercedes,C-Class,2017.0,112547.0,1.3648244121947615,Gasoline,Red,Incheon,accident history,Private,1782
Kia,Sportage,2005.0,34754.0,2.977681218810326,Diesel,White,Incheon,needs painting,Dealer,1099
Mercedes,C-Class,2005.0,226814.0,1.2302350400665771,Diesel,Silver,Incheon,nan,Dealer,772
Mercedes,E-Class,2018.0,,3.198115529294942,Hybrid,Black,Seoul,minor scratch on bumper,Private,1983
Hyundai,Tucson,2015.0,,2.766122005493508,Gasoline,Silver,Daejeon,perfect condition,Dealer,1371
BMW,3-Series,1998.0,133983.0,4.5508167310331995,Diesel,Red,Daejeon,slight dent,Dealer,1018
Hyundai,Grandeur,2002.0,214835.0,2.4036600502083147,Gasoline,Black,nan,slight dent,Private,594
Ford,Explorer,,84896.0,1.4682680657104235,Gasoline,nan,Daegu,accident history,Dealer,1292
Mercedes,C-Class,1997.0,71295.0,1.5719667282113434,Gasoline,Blue,Daegu,like new,Dealer,1019
BMW,X5,2016.0,219686.0,4.046042526869889,Hybrid,Silver,Incheon,dashboard damage,Dealer,1663
Hyundai,Tucson,2015.0,273255.0,3.4728722532650442,Diesel,Black,Daejeon,nan,Private,872
BMW,X5,1996.0,299648.0,1.404490704491161,Diesel,Silver,Incheon,engine issue,Dealer,253
Kia,K5,2018.0,132874.0,1.3364272244599897,Gasoline,Black,Seoul,no major problems,Private,1167
Mercedes,E-Class,2006.0,8155.0,3.80387652583648,Hybrid,White,Daegu,accident history,Dealer,1943
Kia,Sportage,2024.0,47254.0,1.291052025456774,Gasoline,Gray,Incheon,minor scratch on bumper,Dealer,1644
Ford,Escape,2000.0,284062.0,4.287440237161425,Hybrid,Silver,Incheon,accident history,Dealer,651
Hyundai,Avante,,85981.0,3.824968908625985,Gasoline,Blue,Seoul,accident history,Dealer,1201
Mercedes,GLC,2022.0,30306.0,1.325395122567599,Gasoline,Blue,Busan,nan,Dealer,2504
Mercedes,C-Class,2015.0,147718.0,1.3393508563407677,Gasoline,Red,Daejeon,nan,Private,1421
BMW,X3,1995.0,120975.0,4.946558314004702,Gasoline,Black,Busan,nan,Private,873
Kia,Sportage,2006.0,107512.0,2.4970831830244813,Diesel,Silver,Daegu,noise in suspension,Dealer,883
Kia,K5,2020.0,147443.0,2.4825685882675637,Diesel,Red,Incheon,needs painting,Private,1125
Hyundai,Tucson,2016.0,133121.0,4.25119826903001,Gasoline,Silver,Seoul,engine issue,Private,1365
Kia,Sorento,2023.0,162688.0,4.788994309535434,Hybrid,Black,Seoul,nan,Private,1409
Mercedes,C-Class,2006.0,283076.0,4.944004255291484,Gasoline,Blue,Daejeon,needs painting,Private,998
Hyundai,Tucson,2019.0,117796.0,4.0135127410357665,Diesel,White,Busan,no major problems,Dealer,1475
Mercedes,GLE,2011.0,291999.0,2.505038342123663,Hybrid,Blue,Daejeon,perfect condition,Dealer,1217
Mercedes,C-Class,2021.0,192506.0,1.334002866794675,Diesel,Red,Incheon,no major problems,Dealer,1695
Mercedes,GLE,2021.0,174088.0,4.108587663709747,Gasoline,Gray,Daejeon,engine issue,Dealer,2270
Hyundai,Tucson,2004.0,269544.0,3.23361699894322,Hybrid,White,Seoul,engine issue,Dealer,683
Mercedes,C-Class,2022.0,173714.0,2.696888036987905,Diesel,Red,Seoul,accident history,Private,1773
Mercedes,GLE,2022.0,15151.0,4.625417540378944,Gasoline,Black,Daegu,worn tires,Dealer,2824
Hyundai,Avante,2010.0,66690.0,1.4447899292246054,Gasoline,White,Daegu,perfect condition,Private,942
Ford,Fusion,2009.0,4499.0,2.9705004171634366,Diesel,nan,Incheon,noise in suspension,Dealer,1320
BMW,X5,2024.0,6295.0,1.0454145790696763,Diesel,Black,Busan,minor scratch on bumper,Dealer,2275
Hyundai,Tucson,2024.0,274327.0,2.874642567976505,Diesel,Blue,Daejeon,regular maintenance done,Private,1185
Ford,Explorer,2009.0,143946.0,1.2252131027273494,Hybrid,Gray,Incheon,no major problems,Dealer,1168
Ford,Fusion,2024.0,32711.0,1.4752716650722877,Diesel,Black,Daegu,worn tires,Dealer,1719
Ford,Explorer,2013.0,267683.0,1.4701049871084195,Gasoline,Silver,Daejeon,accident history,Dealer,900
Hyundai,Avante,2006.0,184423.0,3.5968412084642543,Gasoline,Black,Daegu,slight dent,Private,693
Ford,Fusion,,179426.0,3.984179517061693,Gasoline,Black,Daejeon,minor scratch on bumper,Dealer,1125
Mercedes,C-Class,2014.0,,3.3334750603886385,Diesel,Gray,Busan,dashboard damage,Dealer,1870
Hyundai,Avante,2019.0,213090.0,4.848690193898168,Gasoline,Silver,Incheon,nan,Private,1149
Kia,Sportage,1997.0,133272.0,2.4994823180948162,Diesel,nan,Daejeon,worn tires,Private,536
BMW,3-Series,1999.0,243548.0,2.142848345127443,Diesel,Red,Seoul,slight dent,Dealer,509
Hyundai,Tucson,2013.0,178047.0,4.474396512757841,Hybrid,Black,Seoul,perfect condition,Private,1280
Mercedes,GLE,2001.0,283501.0,1.8943833540778106,Gasoline,Silver,Daejeon,dashboard damage,Dealer,704
Hyundai,Grandeur,2015.0,119121.0,4.852890157762445,Hybrid,Silver,Daejeon,accident history,Dealer,1480
BMW,X5,2003.0,77505.0,1.0486178987592654,Gasoline,Gray,Daejeon,minor scratch on bumper,Dealer,1138
Mercedes,GLE,2001.0,2869.0,4.879515306830556,Hybrid,Blue,Seoul,minor scratch on bumper,Private,1889
Hyundai,Sonata,2012.0,257186.0,1.1726396478023045,Gasoline,Red,Seoul,minor scratch on bumper,Dealer,802
Hyundai,Tucson,1998.0,112296.0,4.564572454792284,Gasoline,Gray,Daejeon,perfect condition,Private,838
Ford,Fusion,2019.0,94179.0,3.1108044363451994,Diesel,White,Daegu,dashboard damage,Private,1420
Kia,Morning,2022.0,90272.0,4.971859184477202,Gasoline,Red,Daegu,no major problems,Dealer,1546
